company/company/invest	阿里巴巴	Infinity AR	同年11月，阿里巴巴以1500万美元领投了以色列另一家AR公司Infinity AR
company/company/invest	阿里巴巴	Infinity AR	在此轮融资完成后，阿里巴巴将成为Infinity AR的最大股东，占股超过22%
company/company/invest	阿里巴巴	Infinity AR	阿里巴巴投资的以色列AR公司Infinity CEO Motti Kurshir在采访中表示
company/company/invest	阿里巴巴	Infinity AR	而2016年11月，另一家以色列AR公司Infinity AR则获得阿里巴巴1500万美元的领投支持
company/company/invest	阿里巴巴	Infinity AR	据了解，此前，阿里巴巴已经投资Magic Leap和Infinity AR
company/company/invest	阿里巴巴	Lumus	1月21日消息，据外媒报道，以色列增强现实（AR）镜头制造商Lumus已获得阿里巴巴投资，投资金额为600万美元
company/company/invest	阿里巴巴	Lumus	今天，以色列金融日报Calcalist 报道说，阿里巴巴也向Lumus投资了600万美元
company/company/invest	阿里巴巴	Lumus	业内人士称，鉴于阿里巴巴的资金实力，此次向Lumus投资600万美元并不算大手笔
company/company/invest	阿里巴巴	Lumus	阿里巴巴在去年11月花了1500万美元投资的AR公司Infinity AR就是以色列的公司，而现在更是豪掷600万美元投资Lumus，可见以色列在AR技术方面具有领先世界的优势
company/company/invest	阿里巴巴	Lumus	马云又放大招了，投资 AR 企业 Lumus 600 万美元 VR & AR 新闻 2017/01/21 近日，有外媒报道以色列增强现实镜头制造商 Lumus 已获得 600 万美元的投资，而投资方则是来自中国的阿里巴巴
company/company/invest	阿里巴巴	驻云科技	已经成为阿里云使命级合作伙伴的驻云科技宣布获得阿里巴巴超过 5000 万人民币的 B 轮投资
company/company/invest	阿里巴巴	优酷土豆	中国领先视频网站优酷土豆公布，其获得阿里巴巴集团和云锋基金的战略投资，双方共向优酷土豆投资12.2亿美元购入后者普通股，阿里巴巴和云锋将分别获得优酷土豆16.5%和2%股权
company/company/invest	阿里巴巴	和和（上海）影业有限公司	今天，阿里巴巴影业集团宣布战略投资和和（上海）影业有限公司，投资完成后阿里影业将持有和和影业30%的股份，成为其第二大股东，并派驻两位代表进入和和影业
